Wavelength,Intensity
 529.210,     72.66 
 529.559,     39.00 
 529.908,    144.48 
 530.256,     79.39 
 530.605,     52.46 
 530.954,     65.93 
 531.302,    106.33 
 531.651,    144.48 
 531.999,     88.37 
 532.347,     95.10 
 532.696,    106.33 
 533.044,     74.91 
 533.392,     54.71 
 533.741,     34.51 
 534.089,    133.26 
 534.437,      9.82 
 534.785,     45.73 
 535.133,      7.57 
 535.481,     -1.40 
 535.829,     79.39 
 536.177,     39.00 
 536.525,     61.44 
 536.873,     50.22 
 537.221,    101.84 
 537.568,     52.46 
 537.916,    106.33 
 538.264,     72.66 
 538.611,      3.09 
 538.959,    115.30 
 539.307,     92.86 
 539.654,     25.53 
 540.001,     72.66 
 540.349,     79.39 
 540.696,     12.06 
 541.044,     77.15 
 541.391,     77.15 
 541.738,     79.39 
 542.085,    135.50 
 542.432,     39.00 
 542.779,     59.19 
 543.126,     43.48 
 543.473,     99.59 
 543.820,     97.35 
 544.167,     52.46 
 544.514,     54.71 
 544.861,    119.79 
 545.208,     36.75 
 545.555,    151.21 
 545.901,     86.13 
 546.248,     81.64 
 546.595,    119.79 
 546.941,     52.46 
 547.288,     21.04 
 547.634,     12.06 
 547.980,     56.95 
 548.327,     16.55 
 548.673,    128.77 
 549.019,     99.59 
 549.366,     63.68 
 549.712,     65.93 
 550.058,     27.77 
 550.404,     72.66 
 550.750,     81.64 
 551.096,     95.10 
 551.442,     68.17 
 551.788,     41.24 
 552.134,     74.91 
 552.480,     -3.65 
 552.826,    -26.09 
 553.171,     86.13 
 553.517,     70.42 
 553.863,     47.97 
 554.208,     27.77 
 554.554,     30.02 
 554.900,     99.59 
 555.245,     43.48 
 555.590,     45.73 
 555.936,     61.44 
 556.281,     41.24 
 556.626,     16.55 
 556.972,     72.66 
 557.317,     99.59 
 557.662,     43.48 
 558.007,    115.30 
 558.352,     79.39 
 558.697,     23.29 
 559.042,    -10.38 
 559.387,     68.17 
 559.732,     56.95 
 560.077,      3.09 
 560.422,     -1.40 
 560.767,    135.50 
 561.111,      7.57 
 561.456,     -5.89 
 561.801,    -10.38 
 562.145,     12.06 
 562.490,     95.10 
 562.834,     43.48 
 563.179,     83.88 
 563.523,     70.42 
 563.867,     21.04 
 564.212,     86.13 
 564.556,     56.95 
 564.900,     21.04 
 565.244,     61.44 
 565.589,     63.68 
 565.933,     52.46 
 566.277,     41.24 
 566.621,     83.88 
