Wavelength,Intensity
 483.144,    157.24 
 483.499,    206.62 
 483.853,    105.62 
 484.208,    114.60 
 484.562,    134.80 
 484.916,    206.62 
 485.270,    287.42 
 485.625,    296.39 
 485.979,    624.07 
 486.333,   2682.14 
 486.687,  13466.24 
 487.041,  41302.90 
 487.395,  56402.88 
 487.749,  21328.19 
 488.103,   5395.56 
 488.457,   1458.97 
 488.810,    713.84 
 489.164,    379.44 
 489.518,    300.88 
 489.872,    307.62 
 490.225,    220.09 
 490.579,    152.76 
 490.932,    280.68 
 491.286,    264.97 
 491.639,    181.93 
 491.993,    202.13 
 492.346,    134.80 
 492.700,    186.42 
 493.053,    159.49 
 493.406,    107.87 
 493.759,    179.69 
 494.112,    215.60 
 494.466,    170.71 
 494.819,    130.31 
 495.172,    190.91 
 495.525,    181.93 
 495.878,    134.80 
 496.231,     94.40 
 496.583,     54.00 
 496.936,     96.65 
 497.289,    172.96 
 497.642,    119.09 
 497.994,    206.62 
 498.347,    278.44 
 498.700,    177.44 
 499.052,     78.69 
 499.405,    181.93 
 499.757,    137.05 
 500.110,     78.69 
 500.462,    195.40 
 500.814,    141.53 
 501.167,     60.74 
 501.519,     49.52 
 501.871,     80.94 
 502.223,     58.49 
 502.575,    238.04 
 502.928,    110.11 
 503.280,     87.67 
 503.632,     94.40 
 503.984,     36.05 
 504.335,    119.09 
 504.687,     98.89 
 505.039,    190.91 
 505.391,    116.85 
 505.743,    110.11 
 506.094,    163.98 
 506.446,    137.05 
 506.798,     89.91 
 507.149,     47.27 
 507.501,    105.62 
 507.852,     71.96 
 508.204,     89.91 
 508.555,     27.07 
 508.906,    150.51 
 509.258,     92.16 
 509.609,     71.96 
 509.960,     38.29 
 510.311,    116.85 
 510.663,    112.36 
 511.014,     76.45 
 511.365,    141.53 
 511.716,     69.72 
 512.067,     80.94 
 512.418,     58.49 
 512.768,     71.96 
 513.119,    163.98 
 513.470,     65.23 
 513.821,    155.00 
 514.171,    101.14 
 514.522,     94.40 
 514.873,    101.14 
 515.223,     87.67 
 515.574,     67.47 
 515.924,     62.98 
 516.275,     49.52 
 516.625,     69.72 
 516.975,     92.16 
 517.326,     83.18 
 517.676,    116.85 
 518.026,     76.45 
 518.376,    172.96 
 518.727,     76.45 
 519.077,     51.76 
 519.427,     62.98 
 519.777,    121.34 
 520.127,    121.34 
 520.477,     31.56 
 520.826,    159.49 
 521.176,     60.74 
 521.526,     69.72 
 521.876,    110.11 
 522.225,    119.09 
 522.575,    166.22 
 522.925,    114.60 
 523.274,     65.23 
 523.624,     65.23 
 523.973,     98.89 
 524.323,    119.09 
 524.672,      6.87 
 525.021,     83.18 
 525.371,     29.32 
 525.720,    128.07 
 526.069,     98.89 
 526.418,     98.89 
 526.767,     -8.84 
 527.117,     49.52 
 527.466,     47.27 
 527.815,     18.10 
 528.164,    110.11 
 528.512,     -4.35 
 528.861,    134.80 
 529.210,     31.56 
 529.559,     83.18 
 529.908,    130.31 
 530.256,     83.18 
 530.605,     76.45 
 530.954,    -26.79 
 531.302,    161.73 
 531.651,     89.91 
 531.999,      9.12 
 532.347,    121.34 
 532.696,     69.72 
 533.044,     78.69 
 533.392,    130.31 
 533.741,     98.89 
 534.089,     98.89 
 534.437,     94.40 
 534.785,    143.78 
 535.133,     29.32 
 535.481,     76.45 
 535.829,     29.32 
 536.177,    116.85 
 536.525,     87.67 
 536.873,     65.23 
 537.221,     85.43 
 537.568,     29.32 
 537.916,    101.14 
 538.264,     78.69 
 538.611,     42.78 
 538.959,     62.98 
 539.307,     83.18 
 539.654,    121.34 
 540.001,    159.49 
 540.349,    123.58 
 540.696,    186.42 
 541.044,    141.53 
 541.391,    184.18 
 541.738,    134.80 
 542.085,    155.00 
 542.432,     98.89 
 542.779,    110.11 
 543.126,    107.87 
 543.473,    155.00 
 543.820,     71.96 
 544.167,    119.09 
 544.514,     67.47 
 544.861,    114.60 
 545.208,     74.20 
 545.555,    121.34 
 545.901,     31.56 
 546.248,     33.81 
 546.595,     49.52 
 546.941,    103.38 
 547.288,     56.25 
 547.634,     65.23 
 547.980,     38.29 
 548.327,     98.89 
 548.673,    190.91 
 549.019,    157.24 
 549.366,     98.89 
 549.712,      9.12 
 550.058,     74.20 
 550.404,     51.76 
 550.750,    137.05 
 551.096,     62.98 
 551.442,     58.49 
 551.788,     49.52 
 552.134,    166.22 
 552.480,     31.56 
 552.826,     20.34 
 553.171,     80.94 
 553.517,     27.07 
 553.863,     78.69 
 554.208,     87.67 
 554.554,     92.16 
 554.900,     98.89 
 555.245,    170.71 
 555.590,    107.87 
 555.936,     92.16 
 556.281,    107.87 
 556.626,     71.96 
 556.972,     29.32 
 557.317,     89.91 
 557.662,     98.89 
 558.007,     62.98 
 558.352,    128.07 
 558.697,     67.47 
 559.042,    119.09 
 559.387,     85.43 
 559.732,     13.61 
 560.077,     69.72 
 560.422,     74.20 
 560.767,     49.52 
 561.111,     83.18 
 561.456,    110.11 
 561.801,     56.25 
 562.145,     92.16 
 562.490,    101.14 
 562.834,    134.80 
 563.179,    141.53 
 563.523,    143.78 
 563.867,     92.16 
 564.212,     78.69 
 564.556,    186.42 
 564.900,     69.72 
 565.244,     92.16 
 565.589,     74.20 
 565.933,     13.61 
 566.277,     76.45 
 566.621,     69.72 
 566.965,      6.87 
 567.309,     51.76 
 567.652,      4.63 
 567.996,      9.12 
 568.340,    128.07 
 568.684,    112.36 
 569.027,    166.22 
 569.371,     58.49 
 569.715,    132.56 
 570.058,     92.16 
 570.402,    152.76 
 570.745,    134.80 
 571.089,    193.15 
 571.432,    146.02 
 571.775,     98.89 
 572.119,     98.89 
 572.462,    186.42 
 572.805,    130.31 
 573.148,    202.13 
 573.491,    190.91 
 573.834,    152.76 
 574.177,    188.67 
 574.520,    264.97 
 574.863,    188.67 
 575.206,    231.31 
 575.549,     98.89 
 575.892,    139.29 
 576.234,    208.86 
 576.577,    179.69 
 576.920,    280.68 
 577.262,    233.55 
 577.605,    314.35 
 577.947,    215.60 
 578.290,    179.69 
 578.632,    289.66 
 578.975,    242.53 
 579.317,    238.04 
 579.659,    181.93 
 580.001,    208.86 
 580.344,    177.44 
 580.686,    300.88 
 581.028,    354.75 
 581.370,    244.77 
 581.712,    197.64 
 582.054,    226.82 
 582.396,    298.64 
 582.738,    399.63 
 583.079,    359.24 
 583.421,    325.57 
 583.763,    112.36 
 584.105,    186.42 
 584.446,    190.91 
 584.788,    186.42 
 585.129,    190.91 
 585.471,    238.04 
 585.812,    278.44 
 586.154,    258.24 
 586.495,    217.84 
 586.836,    222.33 
 587.178,    226.82 
 587.519,    163.98 
 587.860,    170.71 
 588.201,    179.69 
 588.542,    269.46 
 588.883,    235.80 
 589.224,    256.00 
 589.565,    224.58 
 589.906,    287.42 
 590.247,    155.00 
 590.588,    114.60 
 590.929,    125.82 
 591.269,    110.11 
 591.610,    137.05 
 591.951,    119.09 
 592.291,    161.73 
 592.632,    137.05 
 592.972,    213.35 
 593.313,    186.42 
 593.653,    181.93 
 593.993,    267.22 
 594.334,    332.30 
 594.674,    188.67 
 595.014,    224.58 
 595.354,    163.98 
 595.694,    215.60 
 596.034,    231.31 
 596.375,    195.40 
 596.714,    242.53 
 597.054,    159.49 
 597.394,    211.11 
 597.734,    195.40 
 598.074,    208.86 
 598.414,    188.67 
 598.753,    188.67 
 599.093,    197.64 
 599.433,    193.15 
 599.772,    166.22 
 600.112,    186.42 
 600.451,    199.89 
 600.791,    213.35 
 601.130,    224.58 
 601.469,    323.33 
 601.809,    332.30 
 602.148,    247.02 
 602.487,    206.62 
 602.826,    271.71 
 603.165,    251.51 
 603.504,    220.09 
 603.843,    186.42 
 604.182,    264.97 
 604.521,    175.20 
 604.860,    123.58 
 605.199,    224.58 
 605.538,    166.22 
 605.877,    134.80 
 606.215,    206.62 
 606.554,    199.89 
 606.892,    199.89 
 607.231,    150.51 
 607.570,    244.77 
 607.908,    231.31 
 608.246,    148.27 
 608.585,    128.07 
 608.923,    267.22 
 609.261,    217.84 
 609.600,    188.67 
 609.938,    181.93 
 610.276,    152.76 
 610.614,    137.05 
 610.952,    267.22 
 611.290,    217.84 
 611.628,    175.20 
 611.966,    116.85 
 612.304,    179.69 
 612.641,    143.78 
 612.979,    184.18 
 613.317,    186.42 
 613.655,    195.40 
 613.992,    134.80 
 614.330,    143.78 
 614.667,    159.49 
 615.005,     67.47 
 615.342,    155.00 
 615.680,    199.89 
 616.017,    262.73 
 616.354,    222.33 
 616.691,    345.77 
 617.029,    202.13 
 617.366,    112.36 
 617.703,     92.16 
 618.040,    141.53 
 618.377,    193.15 
 618.714,     74.20 
 619.051,     62.98 
 619.388,     69.72 
 619.725,    110.11 
 620.061,    114.60 
 620.398,     58.49 
 620.735,    119.09 
 621.071,    125.82 
 621.408,    150.51 
 621.745,     62.98 
 622.081,     65.23 
 622.417,     94.40 
 622.754,     92.16 
 623.090,    137.05 
 623.427,    150.51 
 623.763,    130.31 
 624.099,    128.07 
 624.435,     62.98 
 624.771,     92.16 
 625.107,    107.87 
 625.443,     74.20 
 625.779,     89.91 
 626.115,     36.05 
 626.451,     54.00 
 626.787,     80.94 
 627.123,     -4.35 
 627.459,     56.25 
 627.794,    134.80 
 628.130,     98.89 
 628.465,    146.02 
 628.801,    141.53 
 629.137,    184.18 
 629.472,    141.53 
