Wavelength,Intensity
 576.920,    242.81 
 577.262,    754.52 
 577.605,   1299.90 
 577.947,    664.75 
 578.290,    289.94 
 578.632,     90.19 
 578.975,     74.48 
 579.317,    -10.80 
 579.659,      7.15 
 580.001,     -8.56 
 580.344,     34.09 
 580.686,     99.17 
 581.028,     90.19 
 581.370,    258.52 
 581.712,    350.54 
 582.054,    126.10 
 582.396,    202.41 
 582.738,    440.31 
 583.079,    785.94 
 583.421,    561.51 
 583.763,    298.92 
 584.105,    153.04 
 584.446,    193.43 
 584.788,    220.37 
 585.129,    413.38 
 585.471,   1970.96 
 585.812,  11042.62 
 586.154,  29374.46 
 586.495,  38116.21 
 586.836,  12149.08 
 587.178,   4527.27 
 587.519,   1611.86 
 587.860,    680.46 
 588.201,    684.95 
 588.542,   2188.66 
 588.883,   7146.43 
 589.224,  15562.74 
 589.565,  10793.50 
 589.906,   3672.18 
 590.247,   1290.92 
 590.588,    599.66 
 590.929,    496.42 
 591.269,    714.12 
 591.610,    568.24 
 591.951,    397.67 
 592.291,    263.01 
 592.632,    204.66 
 592.972,    162.01 
 593.313,     92.44 
 593.653,    177.72 
 593.993,    227.10 
 594.334,    310.14 
 594.674,   1326.83 
 595.014,   7424.73 
 595.354,  20067.15 
 595.694,  26975.26 
 596.034,   8874.58 
 596.375,   3429.79 
 596.714,   1201.15 
 597.054,    503.16 
 597.394,    451.54 
 597.734,    709.64 
 598.074,   1984.43 
 598.414,   5122.03 
 598.753,   6623.50 
 599.093,   2489.40 
 599.433,   1050.78 
 599.772,    563.75 
 600.112,    361.76 
 600.451,    224.86 
 600.791,    155.28 
 601.130,    119.37 
 601.469,    153.04 
 601.809,     78.97 
 602.148,     90.19 
 602.487,     43.06 
 602.826,    170.99 
 603.165,    397.67 
 603.504,   2096.64 
 603.843,   5595.58 
 604.182,   7168.87 
 604.521,   2805.86 
 604.860,   1017.11 
 605.199,    453.78 
 605.538,    305.65 
 605.877,    188.95 
 606.215,    193.43 
 606.554,    170.99 
 606.892,    159.77 
 607.231,    296.67 
 607.570,    936.31 
 607.908,   6585.34 
 608.246,  18478.15 
 608.585,  25188.75 
 608.923,   9498.51 
 609.261,   3732.77 
 609.600,   1959.74 
 609.938,   4587.87 
 610.276,  17367.20 
 610.614,  34009.05 
 610.952,  21705.52 
 611.290,   7200.29 
 611.628,   2740.77 
 611.966,   1097.91 
 612.304,    489.69 
 612.641,    323.61 
 612.979,    364.01 
 613.317,    666.99 
 613.655,   1203.39 
 613.992,   1519.85 
 614.330,   1694.90 
 614.667,   9996.75 
 615.005,  34837.21 
 615.342,  55357.30 
 615.680,  31185.65 
 616.017,  11192.99 
 616.354,   4352.21 
 616.691,   3838.26 
 617.029,   9410.98 
 617.366,  17019.32 
 617.703,   9678.06 
